frame_id,object_id,class_id,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,feet_x,feet_y,team_id,has_possession,ball_x,ball_y,ball_interpolated,vx_px,vy_px,speed_px_f,speed_km_h
154,6,2,0.8603,627.0,128.2,653.1,159.2,640.0,159.2,0,0,,,,-0.2,0.7,0.728,6.55
154,7,2,0.8341,378.5,148.2,405.2,179.8,391.8,179.8,0,0,,,,1.8,1.4,2.28,20.52
154,5,2,0.8187,864.8,167.6,893.8,199.1,879.3,199.1,0,0,,,,-1.7,-0.3,1.726,15.54
154,11,2,0.7353,566.6,128.9,586.1,158.4,576.3,158.4,0,0,,,,0.2,0.6,0.632,5.69
154,14,2,0.5905,345.1,156.2,363.4,185.1,354.3,185.1,0,0,,,,1.95,0.7,2.072,9.32
154,10,2,0.358,792.0,147.4,812.7,179.0,802.4,179.0,0,0,,,,-0.7,0.1,0.707,6.36
155,5,2,0.8547,864.0,167.4,892.1,198.8,878.0,198.8,0,0,,,,-1.3,-0.3,1.334,12.01
155,6,2,0.8493,626.8,127.7,652.8,159.0,639.8,159.0,0,0,,,,-0.2,-0.2,0.283,2.55
155,7,2,0.8302,379.0,148.1,405.5,179.0,392.3,179.0,0,0,,,,0.5,-0.8,0.943,8.49
155,14,2,0.7442,345.6,156.2,363.8,185.8,354.7,185.8,0,0,,,,0.4,0.7,0.806,7.26
155,11,2,0.719,566.4,128.7,585.9,158.5,576.1,158.5,0,0,,,,-0.2,0.1,0.224,2.01
156,6,2,0.8612,625.9,127.6,652.3,158.4,639.1,158.4,0,0,,,,-0.7,-0.6,0.922,8.3
156,5,2,0.8477,863.1,166.7,891.9,197.7,877.5,197.7,0,0,,,,-0.5,-1.1,1.208,10.87
156,7,2,0.8207,379.2,148.2,405.5,178.7,392.4,178.7,0,0,,,,0.1,-0.3,0.316,2.85
156,14,2,0.7459,345.8,156.3,364.2,185.7,355.0,185.7,0,0,,,,0.3,-0.1,0.316,2.85
156,11,2,0.7048,566.0,128.3,585.7,157.8,575.8,157.8,0,0,,,,-0.3,-0.7,0.762,6.85
156,10,2,0.4488,790.8,147.0,810.8,178.1,800.8,178.1,0,0,,,,-0.8,-0.45,0.918,4.13
156,13,2,0.3872,727.2,135.5,744.1,166.2,735.6,166.2,0,0,,,,-0.55,0.175,0.577,1.3
157,6,2,0.8677,625.4,127.5,651.5,158.1,638.5,158.1,0,0,,,,-0.6,-0.3,0.671,6.04
157,5,2,0.8393,862.2,166.4,891.0,197.2,876.6,197.2,0,0,,,,-0.9,-0.5,1.03,9.27
157,7,2,0.7865,379.6,148.0,406.0,178.4,392.8,178.4,0,0,,,,0.4,-0.3,0.5,4.5
157,11,2,0.5766,565.9,128.0,585.5,157.6,575.7,157.6,0,0,,,,-0.1,-0.2,0.224,2.01
157,10,2,0.3688,789.9,145.6,809.5,177.5,799.7,177.5,0,0,,,,-1.1,-0.6,1.253,11.28
158,6,2,0.8741,625.3,127.3,651.2,157.8,638.2,157.8,0,0,,,,-0.3,-0.3,0.424,3.82
158,7,2,0.7962,379.9,147.8,406.2,178.3,393.1,178.3,0,0,,,,0.3,-0.1,0.316,2.85
158,5,2,0.6268,860.9,165.8,887.7,196.8,874.3,196.8,0,0,,,,-2.3,-0.4,2.335,21.01
158,16,2,0.616,692.5,131.9,707.6,160.1,700.1,160.1,1,0,,,,0.0,0.0,0.0,0.0
158,11,2,0.5994,565.6,127.9,585.6,157.4,575.6,157.4,0,0,,,,-0.1,-0.2,0.224,2.01
158,13,2,0.5435,725.9,135.0,742.2,164.7,734.0,164.7,0,0,,,,-0.8,-0.75,1.097,4.93
158,10,2,0.4106,788.8,146.0,808.3,176.7,798.5,176.7,0,0,,,,-1.2,-0.8,1.442,12.98
158,14,2,0.3878,346.4,155.1,365.1,185.2,355.8,185.2,0,0,,,,0.4,-0.25,0.472,2.12
159,6,2,0.86,624.7,127.4,650.3,157.7,637.5,157.7,0,0,,,,-0.7,-0.1,0.707,6.36
159,7,2,0.841,381.0,147.6,406.3,178.9,393.6,178.9,0,0,,,,0.5,0.6,0.781,7.03
159,13,2,0.6233,724.8,134.6,740.4,164.1,732.6,164.1,0,0,,,,-1.4,-0.6,1.523,13.71
159,11,2,0.6078,564.8,128.0,585.3,157.5,575.0,157.5,0,0,,,,-0.6,0.1,0.608,5.47
159,14,2,0.5519,347.6,155.5,365.8,185.9,356.7,185.9,0,0,,,,0.9,0.7,1.14,10.26
159,5,2,0.4833,858.9,165.6,886.4,197.0,872.7,197.0,0,0,,,,-1.6,0.2,1.612,14.51
159,10,2,0.4719,786.6,145.3,807.1,176.7,796.9,176.7,0,0,,,,-1.6,0.0,1.6,14.4
159,16,2,0.3838,691.0,132.1,705.4,159.5,698.2,159.5,0,0,,,,-1.9,-0.6,1.992,17.93
160,6,2,0.8714,624.2,127.5,650.0,158.7,637.1,158.7,0,0,,,,-0.4,1.0,1.077,9.69
160,7,2,0.8066,380.8,148.4,406.4,178.9,393.6,178.9,0,0,,,,0.0,0.0,0.0,0.0
160,10,2,0.7414,785.8,145.4,805.7,176.8,795.7,176.8,0,0,,,,-1.2,0.1,1.204,10.84
160,14,2,0.7062,347.7,156.3,365.9,185.8,356.8,185.8,0,0,,,,0.1,-0.1,0.141,1.27
160,13,2,0.6844,724.3,134.7,739.8,164.7,732.1,164.7,0,0,,,,-0.5,0.6,0.781,7.03
160,11,2,0.636,564.6,128.9,584.8,157.9,574.7,157.9,0,0,,,,-0.3,0.4,0.5,4.5
160,5,2,0.4348,858.0,166.2,884.0,196.6,871.0,196.6,0,0,,,,-1.7,-0.4,1.746,15.72
161,6,2,0.86,623.7,128.1,649.8,159.3,636.7,159.3,0,0,,,,-0.4,0.6,0.721,6.49
161,7,2,0.806,381.0,150.2,406.9,180.1,394.0,180.1,0,0,,,,0.4,1.2,1.265,11.38
161,10,2,0.8031,785.1,146.4,805.2,177.4,795.1,177.4,0,0,,,,-0.6,0.6,0.849,7.64
161,5,2,0.7329,856.8,166.4,882.8,196.7,869.8,196.7,0,0,,,,-1.2,0.1,1.204,10.84
161,14,2,0.6891,348.7,157.2,365.8,187.0,357.2,187.0,0,0,,,,0.4,1.2,1.265,11.38
161,11,2,0.6668,564.6,129.1,584.3,157.9,574.4,157.9,0,0,,,,-0.3,0.0,0.3,2.7
162,6,2,0.8445,623.3,129.2,649.2,159.5,636.2,159.5,0,0,,,,-0.5,0.2,0.539,4.85
162,7,2,0.8432,381.4,150.7,407.3,180.8,394.4,180.8,0,0,,,,0.4,0.7,0.806,7.26
162,5,2,0.8367,856.1,167.2,883.8,196.9,869.9,196.9,0,0,,,,0.1,0.2,0.224,2.01
162,14,2,0.7091,349.5,158.4,366.6,187.6,358.0,187.6,0,0,,,,0.8,0.6,1.0,9.0
162,10,2,0.5813,783.9,146.8,804.3,177.6,794.1,177.6,0,0,,,,-1.0,0.2,1.02,9.18
